PAIS,ESTADO,IMPUESTO
España,,21.000
Reino Unido,,20.000
Colombia,,19.000
Estados Unidos,Alabama,4.000
Estados Unidos,Alaska,0.000
Estados Unidos,Arizona,5.600
Estados Unidos,Arkansas,6.500
Estados Unidos,California,7.250
Estados Unidos,Colorado,2.900
Estados Unidos,Connecticut,6.350
Estados Unidos,Delaware,0.000
Estados Unidos,Florida,6.000
Estados Unidos,Georgia,4.000
Estados Unidos,Hawaii,4.000
Estados Unidos,Idaho,6.000
Estados Unidos,Illinois,6.250
Estados Unidos,Indiana,7.000
Estados Unidos,Iowa,6.000
Estados Unidos,Kansas,6.500
Estados Unidos,Kentucky,6.000
Estados Unidos,Louisiana,4.450
Estados Unidos,Maine,5.500
Estados Unidos,Maryland,6.000
Estados Unidos,Massachusetts,6.250
Estados Unidos,Michigan,6.000
Estados Unidos,Minnesota,6.875
Estados Unidos,Mississippi,7.000
Estados Unidos,Missouri,4.225
Estados Unidos,Montana,0.000
Estados Unidos,Nebraska,5.500
Estados Unidos,Nevada,6.850
Estados Unidos,New Hampshire,0.000
Estados Unidos,New Jersey,6.625
Estados Unidos,New Mexico,5.125
Estados Unidos,New York,4.000
Estados Unidos,North Carolina,4.750
Estados Unidos,North Dakota,5.000
Estados Unidos,Ohio,5.750
Estados Unidos,Oklahoma,4.500
Estados Unidos,Oregon,0.000
Estados Unidos,Pennsylvania,6.000
Estados Unidos,Rhode Island,7.000
Estados Unidos,South Carolina,6.000
Estados Unidos,South Dakota,4.200
Estados Unidos,Tennessee,7.000
Estados Unidos,Texas,6.250
Estados Unidos,Utah,4.850
Estados Unidos,Vermont,6.000
Estados Unidos,Virginia,5.300
Estados Unidos,Washington,6.500
Estados Unidos,West Virginia,6.000
Estados Unidos,Wisconsin,5.000
Estados Unidos,Wyoming,4.000
